City,Region,Country,Code,Year,Total Population,Served Population,Sewer Length,Percent Served
Te Awamutu,Western Pacific,New Zealand,NZ040,2015,46668.0,27747.0,255.3,0.5945615839547441
Tokoroa,Western Pacific,New Zealand,NZ027,2015,22071.0,19326.0,167.0,0.8756286529835531
Nelson,Western Pacific,New Zealand,NZ030,2015,47900.0,30123.0,410.0,0.6288726513569938
Rangiora,Western Pacific,New Zealand,NZ037,2015,49989.0,37271.0,309.0,0.7455840284862669
Taupo,Western Pacific,New Zealand,NZ028,2015,32907.0,32907.0,410.0,1.0
Ngaruawahia,Western Pacific,New Zealand,NZ033,2015,63378.0,24143.0,262.0,0.38093660260658274
Upper Hutt,Western Pacific,New Zealand,NZ005,2015,40179.0,40095.0,217.0,0.9979093556335399
Timaru,Western Pacific,New Zealand,NZ032,2015,43929.0,32578.0,344.88,0.7416057729518086
Thames,Western Pacific,New Zealand,NZ031,2015,26178.0,26178.0,392.6,1.0
Tauranga,Western Pacific,New Zealand,NZ029,2015,120819.0,120265.0,849.4,0.9954146284938628
Mariupol,Europe,Ukraine,UA3361508,2015,486140.0,299194.0,703.15,0.6154482247912124
Bashkia Himare,Europe,Albania,UM001a,2015,13500.0,1653.0,3.5,0.12244444444444444
Ternopil,Europe,Ukraine,UA005,2015,224944.0,216518.0,281.22,0.9625417881783911
Cherkasy,Europe,Ukraine,UA0011,2015,284333.0,228848.0,274.29,0.8048590912767776
Aartselaar,Europe,Belgium,BE2,2015,6410705.0,5511383.0,5922.0,0.8597155851033544
Aarhus,Europe,Denmark,DK2,2015,330639.0,330639.0,2770.0,1.0
Odense,Europe,Denmark,DK1,2015,228000.0,223100.0,2307.13,0.9785087719298246
Novi Kneževac,Europe,Serbia,8128260,2015,10461.0,1300.0,14.0,0.12427110218908326
Ba?ka Topola (Moravica),Europe,Serbia,8687617,2015,5100.0,800.0,12.0,0.1568627450980392
Ba?ki Petrovac (Magli?),Europe,Serbia,8213232,2015,2500.0,2500.0,26.0,1.0
Despotovac,Europe,Serbia,7183747,2015,28931.0,4867.0,32.0,0.1682278524765822
Novo MIloševo,Europe,Serbia,8259127,2015,7508.0,2016.0,43.99,0.2685135855087906
Ba?ka Palanka,Europe,Serbia,8081255,2015,56000.0,28240.0,110.0,0.5042857142857143
In?ija,Europe,Serbia,8584885,2015,47433.0,24723.0,69.0,0.5212194042122573
Pan?evo,Europe,Serbia,8487502,2015,76203.0,67000.0,135.0,0.8792304764904268
Krupanj,Europe,Serbia,7314205,2015,17435.0,3280.0,12.0,0.18812733008316604
Kuršumlija,Europe,Serbia,7172818,2015,18700.0,9000.0,44.0,0.48128342245989303
Ba?ki Petrovac (Gloakvalis),Europe,Serbia,8788901,2015,2002.0,900.0,14.0,0.44955044955044954
Majdanpek - Donji Milanovac,Europe,Serbia,20320443,2015,3919.0,120.0,1146.0,0.030620056136769585
Kova?ica,Europe,Serbia,8077690,2015,7500.0,550.0,24.0,0.07333333333333333
Petrovac na Mlavi,Europe,Serbia,7160658,2015,41220.0,8152.0,27.0,0.1977680737506065
Žabari,Europe,Serbia,21064564,2015,11380.0,500.0,5.31,0.043936731107205626
Apatin,Europe,Serbia,8023263,2015,28929.0,17000.0,90.0,0.5876456151266894
Ba?ki Petrovac,Europe,Serbia,8198748,2015,9000.0,1700.0,28.0,0.18888888888888888
Koceljeva,Europe,Serbia,7347103,2015,12331.0,3411.0,16.0,0.27661990106236317
Vladi?in Han,Europe,Serbia,20663901,2015,24000.0,7500.0,25.0,0.3125
Alibunar,Europe,Serbia,8137838,2015,21000.0,6050.0,66.0,0.28809523809523807
Priboj,Europe,Serbia,7155760,2015,27100.0,16000.0,51.5,0.5904059040590406
Varvarin,Europe,Serbia,7218281,2015,20000.0,3000.0,32.0,0.15
?ajetina,Europe,Serbia,20302976,2015,15000.0,10000.0,46.0,0.6666666666666666
Crna Trava,Europe,Serbia,17300806,2015,1663.0,530.0,4.0,0.31870114251352977
Bor,Europe,Serbia,7183453,2015,40000.0,40000.0,40.0,1.0
Crvenka,Europe,Serbia,8005079,2015,8500.0,1757.0,12.0,0.20670588235294118
Grocka,Europe,Serbia,17536320,2015,33000.0,950.0,49.0,0.02878787878787879
Bela Crkva,Europe,Serbia,8677425,2015,12580.0,7720.0,45.0,0.6136724960254372
Ba?ka Topola ,Europe,Serbia,8032874,2015,14900.0,4165.0,16.9,0.2795302013422819
Dimitrovgrad,Europe,Serbia,7299974,2015,9623.0,7051.0,40.0,0.7327236828431882
Bosilegrad,Europe,Serbia,7357362,2015,5000.0,4050.0,35.0,0.81
Mid Glamorgan,Europe,"UK, England and Wales",GB2,2015,3241672.0,3241672.0,36214.0,1.0
Bradford,Europe,"UK, England and Wales",GB1,2015,5159842.0,5037923.0,32148.03,0.9763715633153108
Kremenchug,Europe,Ukraine,UAN02,2015,229457.0,144733.0,255.47,0.6307630623602679
Zaporizhye,Europe,Ukraine,UAN05,2015,71864.0,71864.0,166.9,1.0
Ivano-Frankivsk,Europe,Ukraine,UAN06,2015,284096.0,225926.0,318.2,0.7952452692047759
Ilyichevsk,Europe,Ukraine,UAN01,2015,75556.0,59483.0,113.71,0.7872703689978294
Vyshgorod,Europe,Ukraine,UAN04,2015,27300.0,23950.0,73.85,0.8772893772893773
Borispil,Europe,Ukraine,UAN03,2015,60900.0,36031.0,138.35,0.5916420361247947
Geneve,Europe,Switzerland,CH1,2015,490600.0,488800.0,1212.0,0.9963310232368529
Han Pijesak,Europe,Bosnia and Herzegovina,BH0004,2015,3844.0,1385.0,4900.0,0.36030176899063476
Trebinje,Europe,Bosnia and Herzegovina,BH0002,2015,29198.0,11704.0,35.0,0.4008493732447428
Gacko,Europe,Bosnia and Herzegovina,BH0001,2015,9734.0,4916.0,5.0,0.5050339017875488
Brod,Europe,Bosnia and Herzegovina,BH0005,2015,10584.0,5346.0,19.0,0.5051020408163265
Gornji Ribnik,Europe,Bosnia and Herzegovina,BH0006,2015,6048.0,261.0,3.5,0.043154761904761904
Prnjavor,Europe,Bosnia and Herzegovina,BH0003,2015,39000.0,7000.0,50.11,0.1794871794871795
Lisakovsk,Europe,Kazakhstan,KZ89,2015,40836.0,40836.0,82.7,1.0
Debrca,Europe,North Macedonia,MC0006,2015,5507.0,833.0,12.0,0.1512620301434538
Demir Hisar,Europe,North Macedonia,MC0007,2015,9560.0,2500.0,3.65,0.2615062761506276
Demir Kapija,Europe,North Macedonia,MC0008,2015,3322.0,3322.0,16.0,1.0
Dojran,Europe,North Macedonia,MC0009,2015,3426.0,2474.0,10.44,0.7221249270286048
Gevgelija,Europe,North Macedonia,MC0010,2015,22988.0,20894.0,102.0,0.908908995997912
Konce,Europe,North Macedonia,MC0012,2015,3532.0,3364.0,11.2,0.9524348810872028
Kratovo,Europe,North Macedonia,MC0013,2015,10441.0,8050.0,40.0,0.7709989464610669
Lozovo,Europe,North Macedonia,MC0014,2015,2581.0,1859.0,15.8,0.7202634637737311
Obleshevo,Europe,North Macedonia,MC0005,2015,6500.0,1100.0,3.8,0.16923076923076924
Plasnica,Europe,North Macedonia,MC0017,2015,6000.0,400.0,2.0,0.06666666666666667
Struga,Europe,North Macedonia,MC0020,2015,25680.0,25680.0,47.0,1.0
Zrnovci,Europe,North Macedonia,MC0024,2015,3240.0,3100.0,14.0,0.9567901234567902
Zelenikovo,Europe,North Macedonia,MC0023,2015,3433.0,1501.0,8.0,0.4372269152344888
Puerto Cortes,Americas,Honduras,HN12,2015,68260.0,21820.0,115.0,0.31966012305889246
La Romana,Americas,Dominican Republic,DR6108,2015,17720.0,2180.0,7.09,0.12302483069977427
Moca,Americas,Dominican Republic,DR6107,2015,236390.0,36180.0,80.0,0.15305215956681756
Jablanica,Europe,Bosnia and Herzegovina,BH0010,2015,5600.0,5600.0,14.0,1.0
Ilijaš,Europe,Bosnia and Herzegovina,BH0007,2015,15000.0,14187.0,30.0,0.9458
Konjic,Europe,Bosnia and Herzegovina,BH0009,2015,10500.0,8435.0,23.0,0.8033333333333333
Kiseljak,Europe,Bosnia and Herzegovina,BH0008,2015,20722.0,5289.0,25.0,0.25523598108290707
