City,Region,Country,Code,Year,Total Population,Served Population,Water Length,Percent Served
Suwa?ki,Europe,Poland,PL24,2015,69455.0,69151.0,231.1,0.9956230652940753
Szczecin,Europe,Poland,PL25,2015,407133.0,406726.0,1293.6,0.9990003266745756
Tarnów,Europe,Poland,PL26,2015,150300.0,145200.0,1218.6,0.9660678642714571
Warszawa,Europe,Poland,PL29,2015,2006971.0,2006971.0,4135.6,1.0
W?oc?awek,Europe,Poland,PL30,2015,108002.0,106186.0,347.65,0.9831854965648784
Wrze?nia,Europe,Poland,PL31,2015,44555.0,31000.0,492.2,0.6957692739310964
Zielona Góra,Europe,Poland,PL32,2015,124000.0,124000.0,641.7,1.0
?ywiec,Europe,Poland,PL33,2015,32000.0,29943.0,297.8,0.93571875
Zabierzów,Europe,Poland,PL35,2015,24707.0,24459.93,230.6,0.99
Abakan,Europe,Russia,20001,2015,179160.0,179160.0,286.1,1.0
Anadyr,Europe,Russia,20003,2015,14900.0,14900.0,51.9,1.0
Arkhangelsk,Europe,Russia,RU 75,2015,351230.0,351230.0,652.3,1.0
Astrakhan,Europe,Russia,20005,2015,531720.0,531720.0,1356.6,1.0
Barnaul,Europe,Russia,20006,2015,661009.0,661009.0,1087.2,1.0
Belgorod,Europe,Russia,20007,2015,387090.0,387090.0,1140.4,1.0
Birobidzhan,Europe,Russia,20008,2015,74560.0,74560.0,137.4,1.0
Blagoveschensk,Europe,Russia,20009,2015,224340.0,224340.0,375.4,1.0
Bryansk,Europe,Russia,20010,2015,405920.0,405920.0,892.7,1.0
Cheboksary,Europe,Russia,20011,2015,481000.0,481000.0,614.0,1.0
Chelyabinsk,Europe,Russia,20012,2015,1191990.0,1191990.0,1877.2,1.0
Cherkessk,Europe,Russia,20013,2015,123130.0,123130.0,339.0,1.0
Chita,Europe,Russia,20014,2015,343510.0,343510.0,303.7,1.0
Ekaterinburg,Europe,Russia,20016,2015,1444440.0,1444440.0,1745.1,1.0
Elista,Europe,Russia,20017,2015,104010.0,104010.0,479.3,1.0
Gorno-Altaysk,Europe,Russia,20018,2015,62860.0,62860.0,133.2,1.0
Irkutsk,Europe,Russia,20019,2015,623420.0,623420.0,959.5,1.0
Ivanovo,Europe,Russia,20020,2015,409000.0,310300.0,857.67,0.758679706601467
Izhevsk,Europe,Russia,20021,2015,701017.0,701017.0,979.5,1.0
Kaliningrad,Europe,Russia,20022,2015,459560.0,459560.0,1045.8,1.0
Kaluga,Europe,Russia,20023,2015,341990.0,341990.0,732.5,1.0
Kazan,Europe,Russia,20024,2015,1216970.0,1216970.0,1841.6,1.0
Kemerovo,Europe,Russia,20025,2015,553080.0,553080.0,1520.9,1.0
Khabarovsk,Europe,Russia,20026,2015,611160.0,611160.0,930.4,1.0
Khanty-Mansiysk,Europe,Russia,20027,2015,96940.0,96940.0,143.4,1.0
Kirov,Europe,Russia,20028,2015,496990.0,496990.0,898.4,1.0
Kostroma,Europe,Russia,20029,2015,276690.0,276690.0,531.0,1.0
Krasnodar,Europe,Russia,20030,2015,853850.0,853850.0,1782.9,1.0
Krasnoyarsk,Europe,Russia,20031,2015,1066930.0,1066930.0,1257.3,1.0
Kurgan,Europe,Russia,20033,2015,325190.0,325190.0,563.0,1.0
Kursk,Europe,Russia,20034,2015,443210.0,443210.0,909.7,1.0
Kyzyl,Europe,Russia,20035,2015,115870.0,115870.0,83.9,1.0
Lipetsk,Europe,Russia,20036,2015,510020.0,510020.0,1116.5,1.0
Magadan,Europe,Russia,20037,2015,92080.0,92080.0,232.9,1.0
Maikop,Europe,Russia,20038,2015,166989.0,166989.0,639.3,1.0
Makhachkala,Europe,Russia,20039,2015,587880.0,587880.0,934.1,1.0
Moscow,Europe,Russia,20040,2015,12179140.0,12179140.0,12844.2,1.0
Murmansk,Europe,Russia,20041,2015,305804.0,305804.0,365.3,1.0
Nalchik,Europe,Russia,20042,2015,239040.0,239040.0,632.6,1.0
Naryan-Mar,Europe,Russia,20043,2015,24540.0,24540.0,38.0,1.0
Nizhni Novgorod,Europe,Russia,20045,2015,1286129.0,1286129.0,2001.9,1.0
Novgorod,Europe,Russia,20046,2015,221870.0,221870.0,583.3,1.0
Novosibirsk,Europe,Russia,20047,2015,1642981.0,1642981.0,2170.2,1.0
Omsk,Europe,Russia,20048,2015,1178080.0,1178080.0,1819.4,1.0
Orenburg,Europe,Russia,20049,2015,575590.0,552660.0,1497.72,0.9601626157507949
Oryol,Europe,Russia,20050,2015,319650.0,319650.0,621.3,1.0
Penza,Europe,Russia,20052,2015,524630.0,524630.0,1019.8,1.0
Perm,Europe,Russia,RU 57,2015,1041880.0,1041880.0,1355.4,1.0
Petropavlovsk-Kamchatsky,Europe,Russia,20054,2015,180960.0,180960.0,541.1,1.0
Petrozavodsk,Europe,Russia,RU 78,2015,277110.0,277110.0,454.2,1.0
Pskov,Europe,Russia,20056,2015,226311.0,226311.0,409.3,1.0
Rostov-na-Donu,Europe,Russia,20057,2015,1119880.0,1119880.0,2509.8,1.0
Ryazan,Europe,Russia,20058,2015,534760.0,534760.0,868.8,1.0
Salekhard,Europe,Russia,20059,2015,48470.0,48470.0,209.6,1.0
Samara,Europe,Russia,20060,2015,1170910.0,1170910.0,1760.6,1.0
Saransk,Europe,Russia,20061,2015,300280.0,300280.0,502.2,1.0
Saratov,Europe,Russia,20062,2015,843460.0,843460.0,1864.5,1.0
Smolensk,Europe,Russia,20063,2015,328910.0,328910.0,510.5,1.0
